,date,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
148,2021-04-28,583692785.0,256851699.0,24526193.0,127.66,68.17,59.48,22060.0
149,2021-04-29,592715784.0,264037610.0,24562123.0,208.76,111.29,97.47,22060.0
150,2021-04-30,599933186.0,269866249.0,24873200.0,211.08,111.32,99.76,22060.0
151,2021-05-01,605089038.0,274300484.0,15076728.0,120.75,66.86,58.35,22060.0
152,2021-05-02,609371284.0,277755770.0,12695435.0,120.85,62.43,58.42,22923.0
153,2021-05-03,614281264.0,281331481.0,13409531.0,129.88,69.19,60.68,25829.0
154,2021-05-04,621349207.0,287155619.0,18573101.0,213.39,111.64,101.75,28519.0
155,2021-05-05,629577366.0,293880802.0,19994366.0,215.71,112.75,102.95,29452.0
156,2021-05-06,637828322.0,300889777.0,23633780.0,218.09,114.14,103.95,35196.0
157,2021-05-07,646113941.0,308273076.0,26339893.0,220.4,114.95,105.46,38271.0
158,2021-05-08,651161248.0,313387745.0,19706424.0,121.25,69.67,58.65,37393.0
159,2021-05-09,656569883.0,317547375.0,16379688.0,121.34,70.48,58.7,35506.0
160,2021-05-10,664522637.0,323226740.0,22706741.0,121.42,62.67,58.75,32185.0
161,2021-05-11,673818839.0,330319679.0,24659216.0,121.49,71.16,58.79,28254.0
162,2021-05-12,682338748.0,336467988.0,26152463.0,133.28,71.83,62.4,25745.0
163,2021-05-13,689953209.0,342807642.0,26723672.0,221.01,115.48,105.54,22060.0
164,2021-05-14,697052783.0,347773412.0,25794949.0,121.63,63.62,58.88,22060.0
165,2021-05-15,703315253.0,352278930.0,23292594.0,133.77,71.1,62.67,22060.0
166,2021-05-16,709620584.0,356379813.0,24283511.0,121.66,64.41,58.9,22060.0
167,2021-05-17,717051179.0,360738546.0,26855620.0,121.67,64.93,58.91,26232.0
168,2021-05-18,725328984.0,365789643.0,27319582.0,223.15,115.53,107.62,30500.0
169,2021-05-19,733466454.0,371113630.0,27426642.0,225.46,115.62,109.85,26320.0
170,2021-05-20,743646319.0,377465635.0,34197673.0,121.89,71.94,59.06,22141.0
171,2021-05-21,750532992.0,382765709.0,29134694.0,121.91,71.95,59.08,19482.0
172,2021-05-22,759666639.0,387595852.0,27377104.0,226.14,115.73,110.41,19791.0
173,2021-05-23,766152394.0,391656817.0,24249283.0,123.95,71.99,60.93,24980.0
174,2021-05-24,777704514.0,395794316.0,28674156.0,124.31,72.02,60.93,25092.0
175,2021-05-25,790252533.0,403088752.0,39730120.0,136.74,72.06,65.11,23603.0
176,2021-05-26,800199772.0,408366098.0,35312082.0,126.71,72.07,61.69,31940.0
177,2021-05-27,809840910.0,413808188.0,32673622.0,227.69,115.86,111.83,31940.0
178,2021-05-28,818989389.0,418978178.0,32790919.0,229.23,115.94,113.3,31940.0
179,2021-05-29,828461723.0,422979751.0,31647870.0,230.09,116.0,114.09,31940.0
180,2021-05-30,836515892.0,427284301.0,30830915.0,129.53,71.74,61.75,31940.0
181,2021-05-31,844349974.0,431904875.0,36345482.0,130.13,72.19,62.92,31940.0
182,2021-06-01,855478287.0,438383834.0,38644077.0,131.11,72.38,62.92,31940.0
183,2021-06-02,866202464.0,443888698.0,39091249.0,230.68,116.05,114.63,28866.0
184,2021-06-03,877229788.0,449286455.0,35252267.0,133.74,73.45,62.92,25791.0
185,2021-06-04,889340933.0,454472779.0,38217869.0,123.8,73.72,59.36,22717.0
186,2021-06-05,897119155.0,458484013.0,30202864.0,134.41,74.09,59.48,19586.0
187,2021-06-06,908921962.0,462961262.0,31079291.0,134.63,74.32,62.92,16511.0
188,2021-06-07,918625056.0,468027671.0,30818091.0,134.95,74.51,63.59,14561.0
189,2021-06-08,931257123.0,474922809.0,34057825.0,230.78,116.11,114.67,15803.0
190,2021-06-09,946273571.0,482058997.0,38958113.0,136.58,75.46,59.4,16793.0
191,2021-06-10,1579981487.0,711928930.0,38741525.0,139.51,75.73,67.67,16981.0
192,2021-06-11,1591021114.0,717799028.0,35202066.0,138.36,76.05,59.42,18262.0
193,2021-06-12,1601537200.0,722620082.0,28380382.0,231.01,116.15,114.86,19203.0
194,2021-06-13,1612987712.0,727498805.0,30627883.0,139.61,77.01,64.01,20144.0
195,2021-06-14,1623096384.0,733426762.0,27381496.0,140.02,77.44,64.43,21084.0
196,2021-06-15,1632480374.0,737571068.0,33207251.0,141.19,73.38,59.47,21863.0
