,Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
328,2020-11-26,174690,12641457,2089,263628
329,2020-11-27,188981,12830438,2246,265874
330,2020-11-28,147728,12978166,1441,267315
331,2020-11-29,176261,13154427,1525,268840
332,2020-11-30,147682,13302109,1401,270241
333,2020-12-01,135420,13437529,994,271235
334,2020-12-02,160365,13597894,1491,272726
335,2020-12-03,189757,13787651,2534,275260
336,2020-12-04,205815,13993466,2734,277994
337,2020-12-05,222840,14216306,2844,280838
338,2020-12-06,224358,14440664,2440,283278
339,2020-12-07,208854,14649518,2341,285619
340,2020-12-08,173874,14823392,1316,286935
341,2020-12-09,194996,15018388,1841,288776
342,2020-12-10,227096,15245484,2668,291444
343,2020-12-11,217561,15463045,3187,294631
344,2020-12-12,209909,15672954,2838,297469
345,2020-12-13,250135,15923089,3024,300493
346,2020-12-14,217251,16140340,2396,302889
347,2020-12-15,180769,16321109,1649,304538
348,2020-12-16,202385,16523494,1908,306446
349,2020-12-17,200935,16724429,2968,309414
350,2020-12-18,243962,16968391,3420,312834
351,2020-12-19,246505,17214896,3446,316280
352,2020-12-20,237330,17452226,2754,319034
353,2020-12-21,198918,17651144,2584,321618
354,2020-12-22,192411,17843555,1803,323421
355,2020-12-23,187349,18030904,1937,325358
356,2020-12-24,200442,18231346,3244,328602
357,2020-12-25,232439,18463785,3348,331950
358,2020-12-26,196598,18660383,2820,334770
359,2020-12-27,133256,18793639,1768,336538
360,2020-12-28,183182,18976821,1598,338136
361,2020-12-29,148496,19125317,1702,339838
362,2020-12-30,179388,19304705,2017,341855
363,2020-12-31,208626,19513331,3543,345398
364,2021-01-01,237337,19750668,3726,349124
365,2021-01-02,230749,19981417,3277,352401
366,2021-01-03,172805,20154222,2581,354982
367,2021-01-04,280226,20434448,2578,357560
368,2021-01-05,207617,20642065,1744,359304
369,2021-01-06,182342,20824407,2129,361433
370,2021-01-07,234989,21059396,3713,365146
371,2021-01-08,249893,21309289,3772,368918
372,2021-01-09,278047,21587336,4125,373043
373,2021-01-10,312247,21899583,3601,376644
374,2021-01-11,242706,22142289,3427,380071
375,2021-01-12,217568,22359857,2340,382411
376,2021-01-13,202149,22562006,2320,384731
377,2021-01-14,222108,22784114,4048,388779
378,2021-01-15,224827,23008941,4004,392783
379,2021-01-16,224744,23233685,3773,396556
380,2021-01-17,245914,23479599,3552,400108
381,2021-01-18,212299,23691898,3499,403607
382,2021-01-19,183737,23875635,2136,405743
383,2021-01-20,152372,24028007,2030,407773
384,2021-01-21,149551,24177558,2384,410157
385,2021-01-22,188128,24365686,4180,414337
386,2021-01-23,188609,24554295,3902,418239
387,2021-01-24,189131,24743426,3776,422015
388,2021-01-25,168956,24912382,3190,425205
389,2021-01-26,139791,25052173,2144,427349
390,2021-01-27,134873,25187046,2233,429582
391,2021-01-28,149329,25336375,3592,433174
392,2021-01-29,155950,25492325,3698,436872
393,2021-01-30,156221,25648546,3546,440418
394,2021-01-31,148456,25797002,3273,443691
395,2021-02-01,156826,25953828,2828,446519
396,2021-02-02,109424,26063252,2009,448528
397,2021-02-03,126530,26189782,1902,450430
398,2021-02-04,119657,26309439,3169,453599
399,2021-02-05,118677,26428116,3320,456919
400,2021-02-06,124853,26552969,4827,461746
401,2021-02-07,127221,26680190,3345,465091
402,2021-02-08,107773,26787963,2678,467769
403,2021-02-09,90525,26878488,1536,469305
404,2021-02-10,82328,26960816,1590,470895
405,2021-02-11,91671,27052487,2672,473567
406,2021-02-12,96084,27148571,3162,476729
407,2021-02-13,100571,27249142,3185,479914
408,2021-02-14,97779,27346921,5156,485070
409,2021-02-15,87963,27434884,3172,488242
410,2021-02-16,65813,27500697,1334,489576
411,2021-02-17,55128,27555825,1261,490837
412,2021-02-18,56692,27612517,1500,492337
413,2021-02-19,70074,27682591,2577,494914
414,2021-02-20,67806,27750397,2397,497311
415,2021-02-21,72906,27823303,2410,499721
416,2021-02-22,69631,27892934,2004,501725
417,2021-02-23,53992,27946926,1300,503025
418,2021-02-24,55864,28002790,1640,504665
419,2021-02-25,69267,28072057,1925,506590
420,2021-02-26,75437,28147494,2099,508689
421,2021-02-27,73453,28220947,2966,511655
422,2021-02-28,72996,28293943,1868,513523
423,2021-03-01,69545,28363488,1691,515214
424,2021-03-02,50194,28413682,898,516112
425,2021-03-03,51100,28464782,1309,517421
426,2021-03-04,59925,28520145,1873,519294
427,2021-03-05,71704,28584418,1910,520906
428,2021-03-06,75102,28650224,1699,522457
429,2021-03-07,75495,28715861,2000,524457
430,2021-03-08,69609,28773767,1555,525935
431,2021-03-09,80508,28815878,1086,526811
432,2021-03-10,43161,28859039,987,527739
433,2021-03-11,70764,28912848,1972,529108
434,2021-03-12,79876,28973717,2286,530455
435,2021-03-13,75412,29034025,2233,531779
436,2021-03-14,85663,29096528,2216,533001
437,2021-03-15,76178,29149214,1997,533947
438,2021-03-16,43812,29191607,1127,534535
439,2021-03-17,45186,29236793,1057,535270
440,2021-03-18,83926,29288957,2841,536209
441,2021-03-19,90303,29346765,2648,537213
442,2021-03-20,86982,29405167,2724,538556
443,2021-03-21,90570,29466572,2815,539915
444,2021-03-22,79069,29527215,2438,540627
445,2021-03-23,47774,29566239,1290,541078
446,2021-03-24,55399,29621638,1383,542035
447,2021-03-25,82493,29681621,3251,542764
448,2021-03-26,89992,29747372,2009,543855
449,2021-03-27,100158,29815168,2777,545092
450,2021-03-28,84245,29886556,3650,546262
451,2021-03-29,85948,29949687,3438,547037
452,2021-03-30,56211,29996953,1656,547553
453,2021-03-31,61844,30058797,1660,548179
454,2021-04-01,84494,30121358,3780,548942
455,2021-04-02,90638,30190910,3869,549857
456,2021-04-03,91097,30265617,3769,550672
457,2021-04-04,93249,30330486,2922,551452
458,2021-04-05,103558,30398222,1987,552174
459,2021-04-06,96982,30439475,1240,552574
460,2021-04-07,115736,30502510,1319,552909
461,2021-04-08,126789,30563736,4195,553617
462,2021-04-09,131968,30639805,3829,554389
463,2021-04-10,145384,30716378,4249,555337
464,2021-04-11,152879,30796945,3693,556267
465,2021-04-12,168912,30865059,2616,557059
466,2021-04-13,161736,30918653,1803,557400
467,2021-04-14,184372,30976454,1480,557959
468,2021-04-15,200739,31053685,3808,558705
469,2021-04-16,217353,31127910,3459,559539
470,2021-04-17,234692,31200292,3560,560446
471,2021-04-18,261500,31275378,3305,561356
472,2021-04-19,273810,31345499,2929,562065
473,2021-04-20,259170,31398669,1761,562435
474,2021-04-21,295041,31443078,2023,562878
475,2021-04-22,314835,31502822,3321,563661
476,2021-04-23,332730,31566345,3472,564521
477,2021-04-24,346786,31631405,2624,565346
478,2021-04-25,349691,31693289,2914,566184
479,2021-04-26,352991,31749919,3076,566950
480,2021-04-27,323144,31790880,2771,567257
481,2021-04-28,360960,31819636,3293,567703
482,2021-04-29,379257,31871230,3645,568321
483,2021-04-30,386452,31925830,3498,569167
484,2021-05-01,401993,31985578,3523,570025
485,2021-05-02,392488,32039197,3689,570835
486,2021-05-03,368147,32089593,3417,571600
487,2021-05-04,357229,32127136,3449,572019
488,2021-05-05,382315,32159518,3780,572454
489,2021-05-06,412262,32204032,3980,573252
490,2021-05-07,414188,32248887,3915,573967
491,2021-05-08,401078,32293674,4187,574731
492,2021-05-09,403738,32338866,4092,575521
493,2021-05-10,366161,32376957,3754,576166
494,2021-05-11,329942,32404383,3876,576444
495,2021-05-12,348421,32426717,4205,576846
496,2021-05-13,362727,32461393,4120,577512
497,2021-05-14,343144,32496486,4000,578257
498,2021-05-15,326098,32534073,3890,578984
499,2021-05-16,311170,32574504,4077,579664
500,2021-05-17,281386,32605236,4106,580166
501,2021-05-18,263533,32623220,4329,580468
502,2021-05-19,267334,32647162,4529,580983
503,2021-05-20,276110,32676954,3874,581717
504,2021-05-21,259551,32706250,4209,582346
505,2021-05-22,257299,32734993,4194,582953
506,2021-05-23,240842,32762914,3741,583696
507,2021-05-24,222315,32783948,4454,584153
508,2021-05-25,196427,32797873,3511,584700
509,2021-05-26,208921,32820112,4157,585182
510,2021-05-27,211298,32844547,3847,585770
511,2021-05-28,186364,32869009,3660,586890
512,2021-05-29,173790,32891410,3617,587549
513,2021-05-30,165553,32916501,3460,588292
514,2021-05-31,152734,32929178,3128,588596
515,2021-06-01,127510,32938999,2795,588756
516,2021-06-02,132788,32942677,3207,588866
517,2021-06-03,134154,32963318,4272,589555
518,2021-06-04,132364,32979307,2713,590095
519,2021-06-05,120529,32997875,3380,590693
520,2021-06-06,114460,33015604,2677,591276
521,2021-06-07,100636,33027212,2427,591696
522,2021-06-08,86498,33042622,2123,592114
523,2021-06-09,92596,33056361,2219,592610
524,2021-06-10,94052,33072912,6148,592932
525,2021-06-11,91702,33094965,3403,593365
526,2021-06-12,88092,33108269,4002,593878
527,2021-06-13,85149,33120623,3303,594272
528,2021-06-14,78700,33132301,3921,594496
529,2021-06-15,60471,33140498,2726,594644
530,2021-06-16,62224,33151678,2542,594888
